Country,ISO3,Inform Risk,Risk Class,Rank,Lack of Reliability (*),Hazard & Exposure,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Vulnerability,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Lack of Coping Capacity,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years),Corruption
Portugal,PRT,2,Very Low,164,3.446153846,1.8,3.2,3.4,3.8,4.3,0,4.6,2.9,2.7,0.1,0.1,0,2.2,0.9,0.7,1.7,0.3,3.3,5.4,0.4,0.2,0,0.6,0.3,1.9,3,2.6,3.4,0.6,1.7,0,0.1,8,0.156862745,,0.246153846,3.9
Qatar,QAT,1.4,Very Low,184,4.385185185,0.9,1.7,0.1,0,0,0,3.5,4.3,2.9,0.1,0.1,0,1.2,1.2,0.9,2.9,0.1,1.2,1.7,0.4,0.4,0,1.5,0.6,2.6,4.1,4.7,3.5,0.8,1.1,0.2,1,12,0.235294118,,0.222222222,4.2
Romania,ROU,2.6,Low,132,3.65,2,3.5,6,6.1,0,0,2.9,1.9,5,0.1,0.2,0,2.7,1.8,1.6,3.1,0.7,3.5,5.8,0.4,0.5,0,0.2,0.3,3.3,4.7,3.8,5.5,1.5,1.5,0.9,2.2,9,0.176470588,,0.234375,5.4
Russian Federation,RUS,4.4,Medium,54,4.31827957,5.4,5.1,4.2,8.4,4.2,2.2,5.3,5.4,3.6,5.6,8,0,3.6,1.5,1.6,2.8,0,5.2,7.8,0.5,0.4,0,0.8,0.4,4.4,6.3,x,6.3,1.8,0.7,3.6,1,12,0.235294118,,0.209677419,7.4
Rwanda,RWA,4.2,Medium,62,0.792792793,2.5,2.8,4,2.6,0,0,0,4.3,6.1,2.2,3.2,0,5.9,6.5,8.1,5,4.6,5.3,6.4,3.1,2.4,0.4,7.7,4,5,3.9,3,4.7,6,5.7,6.1,6.1,0,0,,0.148648649,4.7
Saint Kitts and Nevis,KNA,1.9,Very Low,166,5.006289308,1.6,3,3.6,0,0,8.6,0,0,2.8,0,0,0,1.4,1.9,2.5,x,0.6,0.9,0,0,1.1,0,5,1.8,3,4.1,4,4.2,1.8,2.1,0.3,2.9,21,0.411764706,,0.188679245,0
Saint Lucia,LCA,2.8,Low,124,6.488888889,1.9,3.5,4.4,0,0,8,2.6,0.5,4.8,0,0,0,3,4.5,3.5,5.9,5,1.2,0,0,1.3,1.5,5,2.2,4,5.1,5.2,4.9,2.8,2.5,0.8,5.2,11,0.215686275,,0.666666667,4.5
Saint Vincent and the Grenadines,VCT,2.6,Low,132,5.523809524,1.8,3.3,4.8,0,0,7.8,1.8,0.5,4.1,0,0,0,3,4.7,3,5.2,7.4,0.8,0,0.2,1.1,3.4,1.4,1.6,3.4,4.2,x,4.2,2.4,2.3,0.8,4.1,17,0.333333333,,0.285714286,4
Samoa,WSM,3,Low,110,4.395698925,1.7,3.2,4.4,0,4.2,6.3,0,0.5,4.2,0,0,0,3.7,5.7,4.6,4.5,8.9,1,0,4.9,1.1,0,1.2,2,4.1,4.4,4.6,4.1,3.7,2.8,2.1,6.3,11,0.215686275,,0.274193548,0
Sao Tome and Principe,STP,2.6,Low,132,1.155555556,0.7,1.4,0.1,0,0,0,2.1,0,5.6,0,0,0,4.9,5.9,5.9,5.3,6.4,3.6,0,2,1.2,10,4.2,6,5.3,6,x,6,4.5,3.6,4.5,5.5,1,0.019607843,,0.166666667,5.5
